size,food,lake,gender,count
<= 2.3 meters,Fish,Hancock,Male,7
<= 2.3 meters,Invertebrate,Hancock,Male,1
<= 2.3 meters,Other,Hancock,Male,5
> 2.3 meters,Fish,Hancock,Male,4
> 2.3 meters,Bird,Hancock,Male,1
> 2.3 meters,Other,Hancock,Male,2
<= 2.3 meters,Fish,Hancock,Female,16
<= 2.3 meters,Invertebrate,Hancock,Female,3
<= 2.3 meters,Reptile,Hancock,Female,2
<= 2.3 meters,Bird,Hancock,Female,2
<= 2.3 meters,Other,Hancock,Female,3
> 2.3 meters,Fish,Hancock,Female,3
> 2.3 meters,Reptile,Hancock,Female,1
> 2.3 meters,Bird,Hancock,Female,2
> 2.3 meters,Other,Hancock,Female,3
<= 2.3 meters,Fish,Oklawaha,Male,2
<= 2.3 meters,Invertebrate,Oklawaha,Male,2
<= 2.3 meters,Other,Oklawaha,Male,1
> 2.3 meters,Fish,Oklawaha,Male,13
> 2.3 meters,Invertebrate,Oklawaha,Male,7
> 2.3 meters,Reptile,Oklawaha,Male,6
<= 2.3 meters,Fish,Oklawaha,Female,3
<= 2.3 meters,Invertebrate,Oklawaha,Female,9
<= 2.3 meters,Reptile,Oklawaha,Female,1
<= 2.3 meters,Other,Oklawaha,Female,2
> 2.3 meters,Invertebrate,Oklawaha,Female,1
> 2.3 meters,Bird,Oklawaha,Female,1
<= 2.3 meters,Fish,Trafford,Male,3
<= 2.3 meters,Invertebrate,Trafford,Male,7
<= 2.3 meters,Reptile,Trafford,Male,1
<= 2.3 meters,Other,Trafford,Male,1
> 2.3 meters,Fish,Trafford,Male,8
> 2.3 meters,Invertebrate,Trafford,Male,6
> 2.3 meters,Reptile,Trafford,Male,6
> 2.3 meters,Bird,Trafford,Male,3
> 2.3 meters,Other,Trafford,Male,5
<= 2.3 meters,Fish,Trafford,Female,2
<= 2.3 meters,Invertebrate,Trafford,Female,4
<= 2.3 meters,Reptile,Trafford,Female,1
<= 2.3 meters,Bird,Trafford,Female,1
<= 2.3 meters,Other,Trafford,Female,4
> 2.3 meters,Invertebrate,Trafford,Female,1
<= 2.3 meters,Fish,George,Male,13
<= 2.3 meters,Invertebrate,George,Male,10
<= 2.3 meters,Bird,George,Male,2
<= 2.3 meters,Other,George,Male,2
> 2.3 meters,Fish,George,Male,9
> 2.3 meters,Bird,George,Male,1
> 2.3 meters,Other,George,Male,2
<= 2.3 meters,Fish,George,Female,3
<= 2.3 meters,Invertebrate,George,Female,9
<= 2.3 meters,Reptile,George,Female,1
<= 2.3 meters,Other,George,Female,1
> 2.3 meters,Fish,George,Female,8
> 2.3 meters,Invertebrate,George,Female,1
> 2.3 meters,Other,George,Female,1
